class_idx,class_name,support,accuracy,precision,recall,f1,correct,incorrect
0,apple_pie,250,0.4,0.5555555555555556,0.4,0.46511627906976744,100,150
1,baby_back_ribs,250,0.732,0.8133333333333334,0.732,0.7705263157894737,183,67
2,baklava,250,0.78,0.7738095238095238,0.78,0.7768924302788844,195,55
3,beef_carpaccio,250,0.752,0.8103448275862069,0.752,0.7800829875518671,188,62
4,beef_tartare,250,0.676,0.6123188405797102,0.676,0.6425855513307985,169,81
5,beet_salad,250,0.616,0.616,0.616,0.616,154,96
6,beignets,250,0.824,0.865546218487395,0.824,0.8442622950819673,206,44
7,bibimbap,250,0.872,0.8384615384615385,0.872,0.8549019607843137,218,32
8,bread_pudding,250,0.512,0.48484848484848486,0.512,0.4980544747081712,128,122
9,breakfast_burrito,250,0.768,0.7007299270072993,0.768,0.7328244274809161,192,58
10,bruschetta,250,0.652,0.6221374045801527,0.652,0.63671875,163,87
11,caesar_salad,250,0.832,0.7197231833910035,0.832,0.7717996289424861,208,42
12,cannoli,250,0.776,0.7886178861788617,0.776,0.782258064516129,194,56
13,caprese_salad,250,0.744,0.7237354085603113,0.744,0.7337278106508877,186,64
14,carrot_cake,250,0.688,0.7257383966244726,0.688,0.7063655030800821,172,78
15,ceviche,250,0.504,0.6176470588235294,0.504,0.5550660792951542,126,124
16,cheesecake,250,0.52,0.6532663316582915,0.52,0.579064587973274,130,120
17,cheese_plate,250,0.772,0.7310606060606061,0.772,0.7509727626459144,193,57
18,chicken_curry,250,0.644,0.6736401673640168,0.644,0.6584867075664622,161,89
19,chicken_quesadilla,250,0.772,0.6678200692041523,0.772,0.7161410018552875,193,57
20,chicken_wings,250,0.812,0.8529411764705882,0.812,0.8319672131147541,203,47
21,chocolate_cake,250,0.616,0.6553191489361702,0.616,0.6350515463917525,154,96
22,chocolate_mousse,250,0.568,0.4982456140350877,0.568,0.5308411214953271,142,108
23,churros,250,0.804,0.9348837209302325,0.804,0.864516129032258,201,49
24,clam_chowder,250,0.832,0.7938931297709924,0.832,0.8125,208,42
25,club_sandwich,250,0.82,0.7677902621722846,0.82,0.7930367504835589,205,45
26,crab_cakes,250,0.564,0.573170731707317,0.564,0.5685483870967741,141,109
27,creme_brulee,250,0.876,0.8390804597701149,0.876,0.8571428571428572,219,31
28,croque_madame,250,0.768,0.7300380228136882,0.768,0.7485380116959065,192,58
29,cup_cakes,250,0.852,0.8623481781376519,0.852,0.8571428571428571,213,37
30,deviled_eggs,250,0.848,0.8,0.848,0.8233009708737864,212,38
31,donuts,250,0.868,0.8410852713178295,0.868,0.8543307086614174,217,33
32,dumplings,250,0.88,0.8979591836734694,0.88,0.888888888888889,220,30
33,edamame,250,0.996,0.9920318725099602,0.996,0.9940119760479043,249,1
34,eggs_benedict,250,0.848,0.7285223367697594,0.848,0.7837338262476894,212,38
35,escargots,250,0.84,0.8786610878661087,0.84,0.8588957055214724,210,40
36,falafel,250,0.628,0.7370892018779343,0.628,0.6781857451403889,157,93
37,filet_mignon,250,0.564,0.49473684210526314,0.564,0.5271028037383179,141,109
38,fish_and_chips,250,0.828,0.7666666666666667,0.828,0.7961538461538462,207,43
39,foie_gras,250,0.46,0.452755905511811,0.46,0.45634920634920634,115,135
40,french_fries,250,0.892,0.7716262975778547,0.892,0.8274582560296847,223,27
41,french_onion_soup,250,0.788,0.7576923076923077,0.788,0.7725490196078431,197,53
42,french_toast,250,0.764,0.610223642172524,0.764,0.6785079928952044,191,59
43,fried_calamari,250,0.8,0.684931506849315,0.8,0.7380073800738007,200,50
