run,tag,step,wall_time,value
baseline_cnn_20260602-0000_v1,train/learning_rate,0,1780351356.2873962,0.0010000000474974513
baseline_cnn_20260602-0000_v1,train/learning_rate,1,1780351450.8523915,0.0010000000474974513
baseline_cnn_20260602-0000_v1,train/learning_rate,2,1780351545.234046,0.0010000000474974513
baseline_cnn_20260602-0000_v1,train/learning_rate,3,1780351638.6674006,0.0010000000474974513
baseline_cnn_20260602-0000_v1,train/learning_rate,4,1780351732.814104,0.0010000000474974513
baseline_cnn_20260602-0000_v1,train/learning_rate,5,1780351831.4092872,0.0010000000474974513
baseline_cnn_20260602-0000_v1,train/learning_rate,6,1780351931.5719514,0.0010000000474974513
baseline_cnn_20260602-0000_v1,train/learning_rate,7,1780352025.3634703,0.0010000000474974513
baseline_cnn_20260602-0000_v1,train/learning_rate,8,1780352119.659659,0.0010000000474974513
baseline_cnn_20260602-0000_v1,train/learning_rate,9,1780352213.8174748,0.0010000000474974513
baseline_cnn_20260602-0000_v1,train/learning_rate,10,1780352307.591602,0.0010000000474974513
baseline_cnn_20260602-0000_v1,train/learning_rate,11,1780352401.587219,0.0010000000474974513
baseline_cnn_20260602-0000_v1,train/learning_rate,12,1780352495.8767107,0.0010000000474974513
baseline_cnn_20260602-0000_v1,train/learning_rate,13,1780352590.2755203,0.0010000000474974513
baseline_cnn_20260602-0000_v1,train/learning_rate,14,1780352683.9304261,0.0010000000474974513
baseline_cnn_20260602-0000_v1,train/learning_rate,15,1780352778.1476367,0.0010000000474974513
baseline_cnn_20260602-0000_v1,train/learning_rate,16,1780352871.9510012,0.0010000000474974513
baseline_cnn_20260602-0000_v1,train/learning_rate,17,1780352965.7413216,0.0010000000474974513
baseline_cnn_20260602-0000_v1,train/learning_rate,18,1780353059.8755076,0.0010000000474974513
baseline_cnn_20260602-0000_v1,train/learning_rate,19,1780353154.3770993,0.0010000000474974513
baseline_cnn_20260602-0000_v1,train/learning_rate,20,1780353248.5611866,0.0010000000474974513
baseline_cnn_20260602-0000_v1,train/learning_rate,21,1780353342.5859675,0.0010000000474974513
baseline_cnn_20260602-0000_v1,train/learning_rate,22,1780353436.7472692,0.0010000000474974513
baseline_cnn_20260602-0000_v1,train/learning_rate,23,1780353531.05448,0.0010000000474974513
baseline_cnn_20260602-0000_v1,train/learning_rate,24,1780353624.9404929,0.0010000000474974513
baseline_cnn_20260602-0000_v1,train/loss,0,1780351356.2873268,4.296766757965088
baseline_cnn_20260602-0000_v1,train/loss,1,1780351450.8523407,3.908463478088379
baseline_cnn_20260602-0000_v1,train/loss,2,1780351545.2339976,3.653834581375122
baseline_cnn_20260602-0000_v1,train/loss,3,1780351638.6673548,3.437143564224243
baseline_cnn_20260602-0000_v1,train/loss,4,1780351732.814058,3.2410542964935303
baseline_cnn_20260602-0000_v1,train/loss,5,1780351831.4092352,3.0882840156555176
baseline_cnn_20260602-0000_v1,train/loss,6,1780351931.5718975,2.9572079181671143
baseline_cnn_20260602-0000_v1,train/loss,7,1780352025.3634238,2.848146677017212
baseline_cnn_20260602-0000_v1,train/loss,8,1780352119.659611,2.761061191558838
baseline_cnn_20260602-0000_v1,train/loss,9,1780352213.8174253,2.6896376609802246
baseline_cnn_20260602-0000_v1,train/loss,10,1780352307.5915558,2.6180410385131836
baseline_cnn_20260602-0000_v1,train/loss,11,1780352401.587171,2.574232816696167
baseline_cnn_20260602-0000_v1,train/loss,12,1780352495.8766615,2.5213966369628906
baseline_cnn_20260602-0000_v1,train/loss,13,1780352590.2754734,2.484121322631836
baseline_cnn_20260602-0000_v1,train/loss,14,1780352683.9303806,2.4466564655303955
baseline_cnn_20260602-0000_v1,train/loss,15,1780352778.1475873,2.41412353515625
baseline_cnn_20260602-0000_v1,train/loss,16,1780352871.9509547,2.3875279426574707
baseline_cnn_20260602-0000_v1,train/loss,17,1780352965.741274,2.3556275367736816
baseline_cnn_20260602-0000_v1,train/loss,18,1780353059.8754613,2.334744691848755
baseline_cnn_20260602-0000_v1,train/loss,19,1780353154.3770528,2.3179023265838623
baseline_cnn_20260602-0000_v1,train/loss,20,1780353248.561142,2.290001392364502
baseline_cnn_20260602-0000_v1,train/loss,21,1780353342.5859134,2.276505947113037
baseline_cnn_20260602-0000_v1,train/loss,22,1780353436.7472248,2.2572250366210938
baseline_cnn_20260602-0000_v1,train/loss,23,1780353531.0544312,2.245546817779541
baseline_cnn_20260602-0000_v1,train/loss,24,1780353624.9404483,2.229710102081299
baseline_cnn_20260602-0000_v1,train/samples,0,1780351356.2873902,64438.0
baseline_cnn_20260602-0000_v1,train/samples,1,1780351450.852385,64438.0
baseline_cnn_20260602-0000_v1,train/samples,2,1780351545.2340405,64438.0
baseline_cnn_20260602-0000_v1,train/samples,3,1780351638.6673949,64438.0
baseline_cnn_20260602-0000_v1,train/samples,4,1780351732.8140986,64438.0
baseline_cnn_20260602-0000_v1,train/samples,5,1780351831.4092813,64438.0
baseline_cnn_20260602-0000_v1,train/samples,6,1780351931.5719452,64438.0
baseline_cnn_20260602-0000_v1,train/samples,7,1780352025.3634655,64438.0
baseline_cnn_20260602-0000_v1,train/samples,8,1780352119.6596534,64438.0
baseline_cnn_20260602-0000_v1,train/samples,9,1780352213.8174694,64438.0
baseline_cnn_20260602-0000_v1,train/samples,10,1780352307.5915968,64438.0
baseline_cnn_20260602-0000_v1,train/samples,11,1780352401.5872133,64438.0
baseline_cnn_20260602-0000_v1,train/samples,12,1780352495.8767056,64438.0
baseline_cnn_20260602-0000_v1,train/samples,13,1780352590.275514,64438.0
baseline_cnn_20260602-0000_v1,train/samples,14,1780352683.9304209,64438.0
