class_idx,class_name,support,accuracy,precision,recall,f1,correct,incorrect
33,edamame,250,0.996,0.9920318725099602,0.996,0.9940119760479043,249,1
91,spaghetti_carbonara,250,0.948,0.8286713286713286,0.948,0.8843283582089551,237,13
54,hot_and_sour_soup,250,0.932,0.8291814946619217,0.932,0.8775894538606402,233,17
51,guacamole,250,0.924,0.8555555555555555,0.924,0.8884615384615384,231,19
75,pho,250,0.916,0.8773946360153256,0.916,0.8962818003913895,229,21
63,macarons,250,0.912,0.9702127659574468,0.912,0.9402061855670104,228,22
45,frozen_yogurt,250,0.912,0.8803088803088803,0.912,0.8958742632612967,228,22
90,spaghetti_bolognese,250,0.912,0.8260869565217391,0.912,0.8669201520912547,228,22
70,pad_thai,250,0.912,0.76,0.912,0.8290909090909091,228,22
76,pizza,250,0.908,0.930327868852459,0.908,0.9190283400809717,227,23
