class_idx,class_name,support,accuracy,precision,recall,f1,correct,incorrect
0,apple_pie,250,0.4,0.5555555555555556,0.4,0.46511627906976744,100,150
93,steak,250,0.404,0.48325358851674644,0.404,0.4400871459694989,101,149
82,ravioli,250,0.456,0.6477272727272727,0.456,0.5352112676056339,114,136
39,foie_gras,250,0.46,0.452755905511811,0.46,0.45634920634920634,115,135
77,pork_chop,250,0.468,0.45703125,0.468,0.4624505928853755,117,133
56,huevos_rancheros,250,0.488,0.6666666666666666,0.488,0.5635103926096998,122,128
99,tuna_tartare,250,0.504,0.5727272727272728,0.504,0.5361702127659574,126,124
15,ceviche,250,0.504,0.6176470588235294,0.504,0.5550660792951542,126,124
8,bread_pudding,250,0.512,0.48484848484848486,0.512,0.4980544747081712,128,122
16,cheesecake,250,0.52,0.6532663316582915,0.52,0.579064587973274,130,120
