true_class,predicted_class,count,rate_within_true_class
steak,filet_mignon,50,0.2
chocolate_cake,chocolate_mousse,32,0.128
steak,pork_chop,31,0.124
tuna_tartare,beef_tartare,30,0.12
pork_chop,filet_mignon,29,0.116
apple_pie,bread_pudding,26,0.104
chocolate_mousse,chocolate_cake,25,0.1
hummus,chicken_quesadilla,25,0.1
filet_mignon,steak,23,0.092
pork_chop,grilled_salmon,23,0.092
hamburger,pulled_pork_sandwich,22,0.088
shrimp_and_grits,gnocchi,22,0.088
club_sandwich,grilled_cheese_sandwich,20,0.08
tiramisu,chocolate_mousse,20,0.08
clam_chowder,lobster_bisque,19,0.076
falafel,crab_cakes,19,0.076
greek_salad,caesar_salad,19,0.076
apple_pie,baklava,17,0.068
cheesecake,strawberry_shortcake,17,0.068
filet_mignon,pork_chop,17,0.068
